iter	Passed	Remaining
0	0	626
1	1	605
2	1	572
3	2	544
4	2	529
5	3	514
6	3	505
7	4	502
8	4	498
9	4	493
10	5	490
11	5	487
12	6	496
13	7	498
14	7	503
15	8	507
16	8	513
17	9	515
18	10	517
19	10	522
20	11	523
21	11	524
22	12	523
23	12	522
24	13	521
25	13	521
26	14	522
27	15	522
28	15	521
29	16	523
30	16	528
31	17	532
32	18	533
33	18	537
34	19	539
35	20	548
36	21	552
37	22	563
38	23	567
39	23	572
40	24	576
41	25	580
42	26	582
43	26	584
44	27	584
45	28	583
46	28	583
47	29	594
48	30	594
49	31	593
50	31	592
51	32	592
52	33	591
53	33	591
54	34	592
55	35	593
56	35	592
57	36	591
58	37	590
59	37	589
60	38	589
61	38	588
62	39	588
63	40	587
64	40	586
65	41	584
66	41	584
67	42	579
68	42	577
69	43	576
70	43	575
71	44	574
72	45	572
73	45	570
74	46	569
75	46	567
76	47	566
77	47	564
78	48	563
79	48	563
80	49	562
81	50	562
82	50	562
83	51	563
84	52	561
85	52	561
86	53	559
87	53	559
88	54	559
89	55	558
90	55	558
91	56	558
92	57	557
93	57	556
94	58	556
95	58	555
96	59	554
97	60	552
98	60	551
99	61	551
100	61	550
101	62	547
102	62	546
103	63	546
104	63	545
105	64	543
106	64	542
107	65	540
108	66	539
109	66	538
110	67	536
111	67	535
112	68	534
113	68	533
114	69	532
115	69	530
116	70	529
117	70	528
118	71	527
119	71	525
120	72	524
121	72	523
122	73	521
123	73	519
124	74	518
125	74	517
126	75	516
127	75	513
128	75	513
129	76	512
130	77	511
131	77	510
132	78	509
133	78	508
134	79	507
135	79	506
136	80	505
137	80	503
138	81	502
139	81	501
140	82	500
141	82	499
142	83	498
143	83	497
144	84	496
145	84	495
146	85	494
147	85	493
148	86	492
149	86	491
150	87	491
151	87	490
152	88	489
153	88	488
154	89	487
155	89	486
156	90	485
157	91	484
158	91	483
159	92	483
160	92	482
161	93	481
162	93	480
163	94	479
164	94	478
165	95	477
166	95	476
167	96	475
168	96	474
169	96	473
170	97	472
171	98	471
172	98	470
173	98	469
174	99	469
175	100	468
176	100	467
177	100	466
178	101	465
179	101	464
180	102	462
181	102	461
182	103	460
183	103	460
184	104	459
185	105	459
186	105	458
187	106	458
188	106	457
189	107	457
190	107	456
191	108	455
192	108	455
193	109	454
194	109	453
195	110	452
196	110	451
197	111	451
198	111	450
199	112	449
200	112	448
201	113	447
202	113	446
203	114	445
204	114	445
205	115	444
206	115	443
207	116	442
208	116	442
209	117	441
210	118	441
211	118	441
212	119	440
213	119	439
214	120	438
215	120	438
216	121	437
217	121	437
218	122	436
219	122	435
220	123	434
221	123	434
222	124	433
223	124	432
224	125	431
225	125	431
226	126	430
227	126	429
228	127	428
229	127	428
230	128	427
231	128	426
232	129	426
233	129	425
234	130	424
235	130	423
236	131	423
237	132	422
238	132	421
239	133	421
240	133	420
241	134	419
242	134	419
243	135	418
244	135	417
245	136	417
246	136	416
247	137	415
248	137	415
249	138	414
250	138	413
251	139	412
252	139	412
253	140	411
254	140	410
255	141	410
256	141	409
257	142	408
258	142	408
259	143	407
260	143	406
261	144	406
262	144	405
263	145	404
264	145	404
265	146	403
266	146	402
267	147	402
268	147	401
269	148	401
270	148	400
271	149	399
272	150	399
273	150	399
274	151	398
275	151	398
276	152	397
277	152	397
278	153	396
279	153	395
280	154	395
281	154	394
282	155	393
283	155	393
284	156	392
285	156	391
286	157	391
287	157	390
288	158	390
289	159	389
290	159	388
291	160	388
292	160	387
293	161	387
294	161	386
295	162	385
296	162	385
297	163	384
298	163	383
299	164	383
300	164	382
301	165	381
302	165	381
303	166	380
304	166	379
305	167	379
306	167	378
307	168	378
308	168	377
309	169	376
310	169	376
311	170	375
312	170	374
313	171	374
314	171	373
315	172	373
316	172	372
317	173	371
318	173	371
319	174	370
320	174	369
321	175	369
322	175	368
323	176	368
324	176	367
325	177	367
326	178	366
327	178	366
328	179	365
329	179	364
330	180	364
331	180	363
332	181	363
333	181	362
334	182	362
335	182	361
336	183	360
337	183	360
338	184	359
339	184	358
340	185	358
341	185	357
342	186	357
343	187	356
344	187	356
345	188	355
346	188	354
347	189	354
348	189	353
349	190	353
350	190	352
351	191	351
352	191	351
353	192	350
354	192	350
355	193	349
356	193	349
357	194	348
358	194	348
359	195	347
360	196	346
361	196	346
362	197	345
363	197	345
364	198	344
365	198	344
366	199	343
367	199	342
368	200	342
369	200	341
370	201	341
371	201	340
372	202	339
373	202	339
374	203	338
375	203	338
376	204	337
377	204	336
378	205	336
379	205	335
380	206	335
381	206	334
382	207	333
383	207	333
384	208	332
385	208	332
386	209	331
387	209	330
388	210	330
389	210	329
390	211	329
391	211	328
392	212	327
393	212	327
394	213	326
395	213	326
396	214	325
397	214	324
398	215	324
399	215	323
400	216	323
401	216	322
402	217	321
403	217	321
404	218	320
405	218	320
406	219	319
407	219	319
408	220	318
409	220	317
410	221	317
411	221	316
412	222	316
413	222	315
414	223	314
415	223	314
416	224	313
417	225	313
418	225	312
419	226	312
420	226	311
421	227	311
422	227	310
423	228	309
424	228	309
425	229	308
426	229	308
427	230	307
428	230	307
429	231	306
430	231	306
431	232	305
432	233	305
433	233	304
434	234	304
435	234	303
436	235	303
437	235	302
438	236	302
439	236	301
440	237	301
441	238	300
442	238	299
443	239	299
444	239	298
445	240	298
446	240	297
447	241	297
448	241	296
449	242	296
450	243	295
451	243	295
452	244	294
453	244	294
454	245	293
455	245	293
456	246	292
457	247	292
458	247	291
459	248	291
460	248	290
461	249	290
462	249	289
463	250	289
464	250	288
465	251	288
466	252	287
467	252	287
468	253	286
469	253	286
470	254	285
471	254	284
472	255	284
473	255	283
474	256	283
475	256	282
476	257	282
477	257	281
478	258	280
479	258	280
480	259	279
481	259	279
482	260	278
483	260	277
484	261	278
485	262	277
486	262	277
487	263	276
488	264	275
489	264	275
490	265	275
491	265	274
492	266	274
493	267	273
494	267	273
495	268	272
496	268	271
497	269	271
498	269	270
499	270	270
500	270	269
501	271	269
502	271	268
503	272	267
504	272	267
505	273	266
506	273	266
507	274	265
508	274	265
509	275	264
510	275	263
511	276	263
512	276	262
513	277	262
514	277	261
515	278	261
516	278	260
517	279	259
518	279	259
519	280	258
520	280	258
521	281	257
522	281	257
523	282	256
524	282	255
525	283	255
526	283	254
527	284	254
528	284	253
529	285	253
530	285	252
531	286	252
532	287	251
533	287	250
534	288	250
535	288	249
536	289	249
537	289	248
538	290	248
539	290	247
540	291	247
541	291	246
542	292	245
543	292	245
544	293	244
545	293	244
546	294	243
547	294	243
548	295	242
549	296	242
550	296	241
551	297	241
552	297	240
553	298	240
554	298	239
555	299	239
556	299	238
557	300	237
558	300	237
559	301	236
560	302	236
561	302	235
562	303	235
563	303	234
564	304	234
565	304	233
566	305	233
567	306	232
568	306	232
569	307	231
570	307	231
571	308	230
572	308	230
573	309	229
574	309	228
575	310	228
576	310	227
577	311	227
578	311	226
579	312	226
580	312	225
581	313	225
582	313	224
583	314	224
584	315	223
585	315	222
586	316	222
587	316	221
588	317	221
589	317	220
590	318	220
591	318	219
592	319	219
593	319	218
594	320	217
595	320	217
596	321	216
597	321	216
598	322	215
599	322	215
600	323	214
601	323	214
602	324	213
603	324	212
604	325	212
605	325	211
606	326	211
607	326	210
608	327	210
609	327	209
610	328	209
611	328	208
612	329	207
613	329	207
614	330	206
615	330	206
616	331	205
617	331	205
618	332	204
619	332	204
620	333	203
621	333	202
622	334	202
623	334	201
624	335	201
625	335	200
626	336	200
627	336	199
628	337	198
629	337	198
630	338	197
631	338	197
632	339	196
633	339	196
634	340	195
635	340	195
636	341	194
637	341	193
638	342	193
639	342	192
640	343	192
641	343	191
642	344	191
643	344	190
644	345	189
645	345	189
646	346	188
647	346	188
648	347	187
649	347	187
650	348	186
651	348	186
652	349	185
653	349	184
654	350	184
655	350	183
656	351	183
657	351	182
658	352	182
659	352	181
660	353	181
661	353	180
662	354	180
663	354	179
664	355	179
665	355	178
666	356	177
667	356	177
668	357	176
669	358	176
670	358	175
671	359	175
672	359	174
673	360	174
674	360	173
675	361	173
676	361	172
677	362	172
678	362	171
679	363	171
680	364	170
681	364	170
682	365	169
683	365	168
684	366	168
685	366	167
686	367	167
687	368	166
688	368	166
689	369	165
690	369	165
691	370	164
692	370	164
693	371	163
694	372	163
695	372	162
696	373	162
697	373	161
698	374	161
699	374	160
700	375	160
701	375	159
702	376	159
703	377	158
704	377	158
705	377	157
706	378	156
707	379	156
708	379	155
709	380	155
710	381	154
711	381	154
712	382	153
713	383	153
714	383	152
715	384	152
716	384	151
717	385	151
718	385	150
719	386	150
720	386	149
721	387	149
722	387	148
723	388	148
724	388	147
725	389	146
726	389	146
727	390	145
728	391	145
729	391	144
730	392	144
731	392	143
732	393	143
733	393	142
734	394	142
735	394	141
736	395	141
737	395	140
738	396	140
739	396	139
740	397	138
741	398	138
742	398	137
743	399	137
744	399	136
745	400	136
746	400	135
747	401	135
748	402	134
749	402	134
750	403	133
751	403	133
752	404	132
753	404	132
754	405	131
755	405	130
756	406	130
757	406	129
758	407	129
759	407	128
760	408	128
761	409	127
762	409	127
763	410	126
764	410	126
765	411	125
766	411	125
767	412	124
768	412	124
769	413	123
770	413	122
771	414	122
772	414	121
773	415	121
774	416	120
775	416	120
776	417	119
777	417	119
778	418	118
779	418	118
780	419	117
781	419	116
782	420	116
783	420	115
784	421	115
785	421	114
786	422	114
787	422	113
788	423	113
789	423	112
790	424	112
791	424	111
792	425	110
793	425	110
794	426	109
795	426	109
796	427	108
797	427	108
798	428	107
799	428	107
800	429	106
801	429	106
802	430	105
803	430	104
804	431	104
805	431	103
806	432	103
807	432	102
808	433	102
809	433	101
810	434	101
811	434	100
812	435	100
813	435	99
814	436	99
815	436	98
816	437	97
817	437	97
818	438	96
819	438	96
820	439	95
821	439	95
822	440	94
823	440	94
824	441	93
825	441	93
826	442	92
827	442	91
828	443	91
829	443	90
830	444	90
831	444	89
832	445	89
833	445	88
834	446	88
835	446	87
836	447	87
837	447	86
838	448	86
839	448	85
840	449	84
841	450	84
842	450	83
843	451	83
844	451	82
845	452	82
846	452	81
847	453	81
848	453	80
849	454	80
850	455	79
851	455	79
852	456	78
853	456	78
854	457	77
855	457	76
856	458	76
857	458	75
858	459	75
859	459	74
860	460	74
861	460	73
862	461	73
863	461	72
864	462	72
865	462	71
866	463	71
867	463	70
868	464	69
869	464	69
870	465	68
871	465	68
872	466	67
873	466	67
874	467	66
875	467	66
876	468	65
877	468	65
878	469	64
879	469	64
880	470	63
881	470	62
882	471	62
883	471	61
884	472	61
885	472	60
886	473	60
887	473	59
888	474	59
889	474	58
890	475	58
891	475	57
892	476	57
893	476	56
894	477	56
895	478	55
896	478	54
897	479	54
898	479	53
899	480	53
900	480	52
901	481	52
902	481	51
903	482	51
904	482	50
905	483	50
906	483	49
907	484	49
908	484	48
909	485	47
910	485	47
911	486	46
912	486	46
913	487	45
914	487	45
915	488	44
916	488	44
917	489	43
918	490	43
919	490	42
920	491	42
921	491	41
922	492	41
923	492	40
924	493	40
925	493	39
926	494	38
927	495	38
928	495	37
929	496	37
930	496	36
931	497	36
932	497	35
933	498	35
934	498	34
935	499	34
936	499	33
937	500	33
938	500	32
939	501	31
940	501	31
941	502	30
942	502	30
943	503	29
944	503	29
945	504	28
946	504	28
947	505	27
948	505	27
949	506	26
950	507	26
951	507	25
952	508	25
953	508	24
954	509	24
955	510	23
956	510	22
957	511	22
958	511	21
959	512	21
960	513	20
961	513	20
962	514	19
963	514	19
964	515	18
965	515	18
966	516	17
967	516	17
968	517	16
969	517	16
970	518	15
971	518	14
972	519	14
973	519	13
974	520	13
975	520	12
976	521	12
977	522	11
978	522	11
979	523	10
980	523	10
981	524	9
982	524	9
983	525	8
984	525	8
985	526	7
986	526	6
987	527	6
988	527	5
989	528	5
990	528	4
991	529	4
992	529	3
993	530	3
994	530	2
995	531	2
996	531	1
997	532	1
998	532	0
999	533	0
